,C1,C3-2,C4,C5-6,C7,C8,C9
Acanthochalcis,0,3,0,1,0,0,1
Aleiodes,1,3,1,1,0,?,?
Anacharis,0,3,0,1,0,?,?
Archaeoteleia,0,3,0,1,0,?,?
Athalia,0,3,0,1,0,0,1
Aulacus,0,3,0,1,0,1,1
Australomymar,?,3,?,?,?,?,?
Austroserphus,0,3,0,1,0,?,?
Belyta,0,3,0,1,0,?,?
Brachygaster,0,?,0,1,0,1,1
Cales,0,3,0,1,0,?,?
Cephalcia,?,3,?,?,?,?,?
Cephalonomia,0,0&1,0,1,1,?,?
Cephus,0,3,0,1,0,1,1
Ceraphron,0,?,?,1,1,?,?
Chiloe,?,3,?,?,?,?,?
Cirrospilus,0,3,0,1,0,?,?
Cleonymus,0,3,0,1,0,?,?
Coccobius,?,3,0,1,?,?,?
Coccophagus,0,3,0,1,0,?,?
Corynis,?,3,?,?,?,?,?
Decameria,?,3,?,?,?,?,?
Diplolepis,0,3,0,1,0,?,?
Doryctes,0,3,1,1,0,?,?
Dusona,0,?,1,1,0,?,?
Eurytoma,0,?,0,1,0,?,?
Evania,0,3,0,1,0,1,1
Evaniella,0,?,0,1,0,1,1
Foersterella,?,3,?,?,?,?,?
Gasteruption,0,3,0,1,0,1,1
Gonatocerus,0,3,0,1,0,?,?
Hartigia,?,3,?,?,?,?,?
Helorus,0,3,0,1,0,1,1
Heteroperreyia,0,3,?,?,?,?,?
Ibalia,0,3,0,1,0,0,1
Ismarus,0,?,0,1,?,?,?
Isostasius,0,?,0,1,0,?,?
Labena,1,?,1,1,0,?,?
Lagynodes,0,3,?,?,0,?,?
Lymeon,0,3,1,1,0,?,?
Maaminga,0,3,0,1,0,?,?
Macroxyela,0,2,0,0,0,1,1
Megalyra,0,3,0,1,0,0,0
Megaspilus,0,?,1,1,0,?,?
Megastigmus,0,3,0,1,0,?,?
Megischus,0,3,0,1,?,?,?
Melanips,0,3,0,1,0,?,?
Metapolybia,1,3,0,1,0,1,1
Monoctenus,0,3,0,1,0,1,1
Monomachus,0,3,0,1,?,?,?
Mymaromma,0,3,?,1,0,?,?
Nasonia,0,3,0,1,0,?,?
Notofenusa,0,?,0,1,0,1,1
Onycholyda,0,3,0,0,0,1,1
Orthogonalys,0,3,0,1,0,1,1
Orussobaius,0,3,?,?,?,?,?
Orussus,0,3,0,1,0,?,?
Pantolytomyia,0,3,0,1,?,?,?
Parnips,0,?,0,1,0,?,?
Pelecinus,0,3,0,1,0,?,?
Periclistus,0,3,0,1,0,1,1
Pimpla,0,?,1,1,0,?,?
Pison,1,3,0,1,0,?,?
Poecilopsilus,0,3,0,1,0,?,?
Pristaulacus,0,3,0,1,0,?,?
Proctotrupes,?,3,0,1,0,1,1
Proplatygaster,0,3,0,1,0,?,?
Pseudofoenus,0,3,0,1,0,?,?
Psilocharis,?,3,?,?,?,?,?
Rhopalosoma,1,?,1,1,0,1,1
Rhysipolis,1,3,1,1,0,?,?
Ropronia,0,3,0,1,0,?,?
Runaria,?,3,?,?,?,?,?
Sapyga,1,0&1,0,1,0,?,?
Schlettererius,0,3,0,1,?,0,1
Sirex,?,3,?,?,?,?,?
Stangeella,0,3,0,1,0,0,0
Sterictiphora,?,3,?,?,?,?,?
Syntexis,0,3,0,1,0,1,1
Telenomus,0,?,?,?,?,?,?
Tenthredo,?,3,?,?,?,?,?
Tremex,0,3,0,1,0,1,1
Vanhornia,0,3,0,1,?,?,?
Wroughtonia,0,3,1,1,0,?,?
Xiphydria,0,3,0,1,0,?,1
Xyela,?,2,0,0,0,1,1
Zagryphus,0,?,1,1,0,?,?
