Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
0	1.17954	-18.6698	19.8493	0.09939345	0.0007878292	0.001965709	0.002074338	0.002315261	0.03165708	0.06595124	0.00168057
500	-6.4769	-19.1591	12.6822	0.2480817	0.0007222516	0.007342087	0.07063917	0.007343898	0.140454	0.07003927	0.01956174
1000	-0.0523673	-19.482	19.4296	0.06865741	0.0002543378	0.002428343	0.002138672	0.0759039	0.02717909	0.03348574	0.01676436
1500	-6.91476	-18.7367	11.8219	0.0510754	0.003161112	0.001157058	0.008391227	0.05463985	0.1239613	0.3283375	0.0364745
2000	-3.54902	-19.7616	16.2126	0.08820955	0.0003600724	0.001433528	0.04441784	0.01595799	0.04243894	0.1593984	0.03544693
2500	-3.78311	-19.2518	15.4687	0.05387046	0.0002368426	0.004100643	0.04749343	0.05821588	0.017822	0.2041532	0.03896426
3000	-6.5439	-20.4547	13.9108	0.05112992	0.001714603	0.003933828	0.01175385	0.05036819	0.05816906	0.3193054	0.006376509
3500	1.99405	-18.6428	20.6369	0.04357239	0.0004547581	0.0008305109	0.0235423	0.01866769	0.0706667	0.008337146	0.0003768579
4000	-0.52702	-19.8523	19.3253	0.06711377	0.001709342	0.001532539	0.008596538	0.0106856	0.004699934	0.08982941	0.04786143
4500	-5.80182	-18.6955	12.8937	0.08767127	0.0005866402	0.001385148	0.03025085	0.02244406	0.2358193	0.1485888	0.02686225
5000	-0.662491	-17.7671	17.1046	0.01791138	0.0008251656	0.000505077	0.0102499	0.02234076	0.07120033	0.1973522	0.0226785
5500	1.21635	-18.9451	20.1614	0.03214746	0.0004130121	0.001760951	0.004708416	0.03520028	0.06039003	0.03997896	0.01562185
6000	-0.904142	-18.9682	18.0641	0.02393459	0.0003373089	0.0009670969	0.03253157	0.08674329	0.06152901	0.05449128	0.03455434
6500	2.39804	-18.2644	20.6624	0.04023845	0.0005343746	0.0007587208	0.004205059	0.01579589	0.02911429	0.06515467	0.009369171
7000	-3.97289	-19.9818	16.0089	0.0561255	1.82403e-05	0.004236532	0.05956105	0.1048488	0.05408671	0.09125805	0.02771126
7500	-11.1021	-21.0242	9.92211	0.3338193	0.01026065	0.009774337	0.02204387	0.03963576	0.02171897	0.2373591	0.02757526
8000	2.62742	-18.2102	20.8376	0.01508074	0.0004366103	0.0001748319	0.007259142	0.005064952	0.04657038	0.06277644	0.0190504
8500	-5.54506	-20.4587	14.9137	0.1769903	0.001581851	0.008420147	0.07450618	0.05744158	0.05094012	0.0596551	0.02307493
9000	-6.83724	-23.0502	16.2129	0.04895889	0.001247326	0.005967703	0.09729902	0.1132841	0.01139348	0.06005794	0.04943696
9500	-3.05438	-21.1065	18.0521	0.0958408	0.001257225	0.006011329	0.005065337	0.06394986	0.07288418	0.01066456	0.04001617
10000	-5.58824	-19.4447	13.8565	0.201541	0.002682686	0.007538496	0.01466812	0.0502178	0.05060535	0.1661829	0.01203393
10500	1.7288	-17.7265	19.4553	0.01758325	0.0006132344	0.0001636553	0.001234865	0.02431949	0.09788499	0.03537829	0.04835072
