Iteration	Posterior	Likelihood	Prior	r1	r2
0	-5.56747	-7.19821	1.63074	0.0112792	0.2067571
500	-1.63447	-7.05698	5.42251	0.00243113	0.02601658
1000	-3.51062	-9.16812	5.65751	0.003873242	0.01282471
1500	-1.73284	-7.11483	5.38199	0.001801671	0.02867187
2000	-1.51543	-7.20829	5.69286	0.0006658781	0.01426458
2500	-2.89066	-7.27405	4.38339	0.009379821	0.07102399
3000	-5.49357	-7.24006	1.74649	0.01036758	0.2018812
3500	-1.86989	-7.31677	5.44687	0.003314695	0.02391482
4000	-2.11158	-7.13518	5.0236	0.002771257	0.045622
4500	-3.19445	-7.05743	3.86298	0.007567145	0.09885699
5000	-2.01446	-7.26183	5.24737	0.0043038	0.03290085
5500	-4.90565	-7.1109	2.20525	0.01138124	0.1779294
6000	-5.25112	-8.10126	2.85014	0.02747231	0.1295939
6500	-3.1118	-7.40771	4.29591	0.01091593	0.07386188
7000	-1.98749	-7.12832	5.14083	0.004223886	0.03830791
7500	-3.5717	-7.41563	3.84393	0.01389622	0.09348042
8000	-3.52295	-7.96173	4.43878	0.01295064	0.06468383
8500	-1.96104	-7.36035	5.39931	0.003712846	0.02589475
9000	-1.85421	-7.05954	5.20533	0.003321561	0.03598533
9500	-1.57338	-7.14659	5.57321	0.001125335	0.01978747
10000	-3.99023	-7.66167	3.67144	0.01714073	0.09886065
10500	-5.17107	-7.06975	1.89868	0.01790051	0.1867386
11000	-4.6017	-7.11324	2.51155	0.01682968	0.1571663
11500	-5.21105	-8.30108	3.09003	0.02696774	0.1181039
12000	-1.91618	-7.80986	5.89367	0.0005030941	0.004386517
12500	-3.94173	-7.06778	3.12605	0.009698443	0.1335724
13000	-1.85924	-7.11114	5.2519	0.002215329	0.03476302
13500	-7.14429	-7.46928	0.324982	0.01077495	0.2725492
14000	-1.88149	-7.05094	5.16945	0.003256586	0.03784422
14500	-3.15935	-7.16646	4.00711	0.01037306	0.08884483
15000	-4.63659	-7.43396	2.79737	0.02090778	0.1387971
15500	-2.02021	-7.05754	5.03734	0.003971798	0.04373467
16000	-2.46261	-7.05098	4.58837	0.00543942	0.06471539
16500	-6.61543	-8.20731	1.59188	0.03977625	0.1802028
17000	-3.86458	-7.06206	3.19747	0.01186918	0.1278304
17500	-1.74218	-7.25567	5.51348	0.00112141	0.02277762
18000	-2.07478	-7.05698	4.9822	0.003593391	0.04686973
18500	-2.09307	-7.05134	4.95827	0.004069113	0.04759048
19000	-4.65787	-9.3917	4.73383	0.01495892	0.04792272
19500	-1.44629	-7.23963	5.79334	0.0008319972	0.009074281
