Iteration	Posterior	Likelihood	Prior	r1	r2
0	-15.251	-21.1197	5.86868	0.00573262	0.0004064896
500	-17.6732	-22.8118	5.13856	0.03887031	0.003775155
1000	-18.7599	-23.8542	5.09424	0.03799113	0.00686989
1500	-16.8194	-22.4987	5.67921	0.01509505	0.0005175302
2000	-15.969	-21.7257	5.75667	0.01041864	0.001320859
2500	-15.7951	-21.6623	5.86725	0.005248207	0.0009623554
3000	-19.0261	-22.9963	3.9702	0.09029288	0.0107704
3500	-18.2262	-23.0667	4.84044	0.05081596	0.006735095
4000	-21.5068	-24.4511	2.94432	0.1267211	0.02563612
4500	-16.8764	-22.5615	5.68507	0.0149175	0.0004021476
5000	-19.4054	-23.3443	3.93898	0.08922704	0.01339739
5500	-16.1466	-21.8756	5.729	0.01162727	0.001495716
6000	-19.5089	-23.1848	3.67592	0.1016399	0.01413758
6500	-21.795	-25.8592	4.06422	0.09304849	0.003313734
7000	-15.5947	-21.3656	5.77089	0.01000931	0.001019358
7500	-23.4801	-26.7343	3.25421	0.1067915	0.03007105
8000	-16.9621	-22.4542	5.49207	0.02301203	0.001957903
8500	-21.5833	-23.2183	1.63499	0.1908055	0.02701847
9000	-17.4844	-22.8871	5.40269	0.02576572	0.003673107
9500	-20.4189	-22.9975	2.57861	0.1555641	0.01507858
10000	-16.0757	-21.7701	5.69444	0.01345146	0.001399951
10500	-19.4811	-23.106	3.62481	0.1089104	0.009422325
11000	-19.2154	-22.9807	3.76525	0.09974335	0.01156758
11500	-20.3487	-23.6991	3.3504	0.1240836	0.007969591
12000	-21.1306	-23.0211	1.89055	0.1874543	0.01759166
12500	-15.6578	-21.52	5.86216	0.005553704	0.0009116525
13000	-17.0104	-22.5313	5.52087	0.02082012	0.002709443
13500	-19.5299	-23.2974	3.76756	0.0969347	0.01426049
14000	-18.6445	-24.4332	5.78873	0.007926579	0.002209953
14500	-22.9793	-23.1342	0.154921	0.2571308	0.03469639
15000	-19.3357	-23.0838	3.74804	0.0992407	0.01293062
15500	-17.0637	-22.8439	5.78015	0.008809652	0.001755932
16000	-19.8189	-23.7123	3.89346	0.08964009	0.01526037
16500	-22.313	-23.0601	0.747102	0.2405612	0.02165689
17000	-15.2821	-21.1508	5.8687	0.005454525	0.0006837964
17500	-18.5782	-23.2617	4.68347	0.057069	0.008330658
18000	-21.1003	-23.0582	1.95789	0.1788638	0.02281466
18500	-16.9134	-22.6512	5.73777	0.01078642	0.001898203
19000	-16.0962	-21.7944	5.69818	0.01387088	0.0007932226
19500	-14.7002	-20.5012	5.80094	0.009382267	0.0001438192
20000	-18.4881	-23.019	4.53089	0.06495686	0.00807179
20500	-19.1474	-22.9662	3.81885	0.09838191	0.01024887
21000	-18.3155	-23.1344	4.81887	0.05152398	0.007105987
21500	-18.8731	-23.2904	4.4173	0.07311942	0.005588856
22000	-16.8248	-22.3456	5.52082	0.02155954	0.001972884
22500	-15.2328	-21.0804	5.8476	0.006940325	0.0002526525
23000	-18.1699	-23.1882	5.0183	0.04249797	0.006160067
23500	-21.941	-23.4465	1.50547	0.1939958	0.03030419
24000	-18.4627	-23.0985	4.63577	0.05981238	0.007972202
24500	-15.5852	-21.3346	5.74937	0.0111524	0.0009522708
25000	-20.214	-23.981	3.76696	0.1051114	0.006113758
25500	-18.0631	-22.989	4.92587	0.04894037	0.004339404
26000	-18.9675	-23.1964	4.22892	0.08152548	0.006601813
26500	-20.5037	-24.9865	4.4828	0.06169071	0.01374228
27000	-17.3713	-22.7634	5.39217	0.02784123	0.002123522
27500	-15.6453	-21.5398	5.89453	0.004601676	0.0002452368
28000	-17.9305	-23.0369	5.10636	0.04100203	0.003253
28500	-20.0697	-23.3829	3.31313	0.1161992	0.01771742
29000	-15.9601	-21.8112	5.85108	0.005954445	0.001064815
29500	-22.1362	-23.1856	1.04941	0.2169205	0.030182
30000	-15.6551	-21.4565	5.80141	0.008478759	0.001024098
30500	-21.4127	-23.0992	1.68649	0.190189	0.02505974
31000	-20.7922	-23.0295	2.23727	0.1717504	0.01595946
31500	-17.233	-22.6416	5.40862	0.02693166	0.002210566
32000	-18.3416	-23.0545	4.71299	0.05658146	0.007342348
32500	-18.2699	-23.2815	5.01168	0.04257348	0.006415896
33000	-19.7321	-24.2474	4.51525	0.07008876	0.003721935
33500	-15.6806	-21.5657	5.88503	0.005079794	0.0002417532
34000	-15.3253	-21.1947	5.86944	0.005382628	0.0007186421
34500	-17.358	-22.9475	5.5895	0.01909783	0.001000278
35000	-17.5631	-22.767	5.20387	0.03538082	0.003999021
35500	-17.4266	-22.7427	5.31601	0.03005718	0.003715589
36000	-19.1527	-24.6058	5.45317	0.02204792	0.004866724
36500	-18.777	-23.9801	5.20315	0.03317179	0.006243802
37000	-18.7519	-22.9739	4.22199	0.08038583	0.008088004
37500	-19.7355	-23.0964	3.36091	0.1209786	0.01054909
38000	-16.9185	-22.4046	5.48608	0.02309695	0.002172435
38500	-16.2623	-21.9354	5.67319	0.01429781	0.001615983
39000	-15.0784	-20.8574	5.77898	0.01021074	0.0004133972
39500	-16.3339	-22.2487	5.91478	0.00286808	0.0009661418
40000	-18.1113	-23.6348	5.52349	0.01969543	0.003703127
40500	-15.1798	-21.0091	5.82925	0.007553187	0.0005576232
41000	-19.3519	-22.9635	3.61154	0.1075314	0.01146482
41500	-17.3305	-22.8102	5.47966	0.02235953	0.00323072
42000	-17.7953	-23.5357	5.74045	0.01030862	0.002242351
42500	-19.1708	-23.7417	4.57095	0.06059613	0.01042984
43000	-21.5045	-25.5467	4.04214	0.0784501	0.01901624
43500	-15.3053	-21.146	5.84076	0.006840094	0.0006951752
44000	-15.2394	-21.1519	5.91248	0.003345018	0.0006041081
44500	-15.9382	-21.7735	5.83529	0.006715263	0.001093427
45000	-18.2593	-23.4334	5.17407	0.03515323	0.005716369
45500	-20.3227	-23.7176	3.39498	0.1109156	0.01890854
46000	-18.5141	-22.9547	4.44066	0.06991979	0.007620293
46500	-17.7818	-22.8939	5.11204	0.03913382	0.004837391
47000	-19.2269	-23.3251	4.09817	0.08239017	0.01227451
47500	-15.4018	-21.1611	5.75921	0.01088402	0.0007284685
48000	-15.3715	-21.1574	5.78598	0.009457164	0.0008170523
48500	-21.6364	-24.4052	2.76874	0.1342268	0.02690953
49000	-16.7198	-22.2938	5.5741	0.01865927	0.002209189
49500	-18.4735	-23.3237	4.85019	0.04957233	0.007491231
50000	-16.8188	-22.3375	5.51862	0.02159713	0.002045055
50500	-16.2171	-21.8845	5.66743	0.01470163	0.001500001
51000	-17.2057	-22.5798	5.37411	0.02817763	0.002690163
51500	-21.0875	-25.81	4.72247	0.0506887	0.01276127
52000	-20.699	-23.148	2.44898	0.1559044	0.02122001
52500	-17.5871	-22.8194	5.23235	0.03377219	0.004183723
53000	-19.0473	-23.3878	4.34046	0.07694078	0.005609396
53500	-20.9418	-23.218	2.27626	0.1719748	0.01378514
54000	-14.7571	-20.5544	5.79727	0.009531408	0.000178453
54500	-21.3163	-23.3191	2.00282	0.173646	0.02578635
55000	-15.1969	-21.0107	5.81383	0.008256602	0.0006253441
55500	-16.6574	-22.3834	5.726	0.01145127	0.001821739
56000	-15.2127	-21.0543	5.84157	0.006929101	0.0005657168
56500	-20.2172	-23.0609	2.84371	0.1395456	0.01784198
57000	-19.8631	-22.9655	3.10247	0.130735	0.0137148
57500	-17.5247	-23.0299	5.5052	0.02097715	0.003336017
58000	-17.5463	-22.7623	5.21592	0.03541995	0.003357039
58500	-15.1684	-20.9921	5.82378	0.007820891	0.0005633695
59000	-17.6386	-23.5361	5.89742	0.004665091	3.710448e-05
59500	-19.7884	-24.7051	4.9167	0.04428668	0.009451604
60000	-16.3017	-21.9658	5.66403	0.01527756	0.001094236
60500	-16.9809	-22.4754	5.49457	0.02217076	0.002674091
61000	-17.3827	-22.7415	5.35885	0.0280426	0.003588184
61500	-20.3347	-22.987	2.65237	0.1519609	0.01499396
62000	-20.754	-23.2403	2.48624	0.1533095	0.02195178
62500	-23.487	-24.5168	1.0298	0.2363752	0.01170786
63000	-19.1087	-24.5103	5.40156	0.02427927	0.005215917
63500	-20.094	-23.8505	3.7565	0.09495914	0.0167893
64000	-17.4581	-22.7539	5.29581	0.03098186	0.003800993
64500	-17.3135	-22.6996	5.3861	0.02801153	0.002256616
65000	-17.1692	-22.5705	5.40131	0.02706956	0.002438324
65500	-16.0267	-21.7375	5.71077	0.01342388	0.0006107174
66000	-15.5501	-21.4512	5.90106	0.003735221	0.0007849368
66500	-19.9464	-23.0176	3.07123	0.1300793	0.01593267
67000	-18.8144	-23.2666	4.45219	0.06718773	0.009776177
67500	-15.5627	-21.4429	5.88016	0.005297506	0.0002678972
68000	-19.1848	-23.606	4.42126	0.06738245	0.01112801
68500	-19.0943	-23.8557	4.76143	0.05805801	0.003443912
69000	-15.8406	-21.5626	5.72205	0.01287996	0.000590797
69500	-24.2233	-23.0506	-1.17271	0.3179296	0.0402792
70000	-14.9481	-20.743	5.79495	0.009472646	0.0003529951
70500	-16.9554	-22.6139	5.65853	0.01596305	0.0006837264
71000	-19.5475	-24.5097	4.96217	0.04266381	0.00880068
71500	-15.098	-20.9331	5.83511	0.007483972	0.0003338845
72000	-17.4836	-23.0142	5.53056	0.021799	0.00124614
72500	-20.6782	-24.2659	3.58773	0.1005876	0.01959892
73000	-18.1922	-22.9751	4.7829	0.05524343	0.005184711
73500	-17.7559	-23.3244	5.56847	0.01794122	0.003208643
74000	-18.1062	-23.185	5.07885	0.0398126	0.00581812
74500	-20.0704	-23.4224	3.35199	0.114281	0.01769299
75000	-15.1555	-21.0755	5.91999	0.003194375	0.0003794304
75500	-18.3159	-23.0823	4.76645	0.05645362	0.004797244
76000	-16.016	-21.7147	5.69869	0.01372504	0.0009135151
76500	-20.112	-24.4172	4.30524	0.07019695	0.01411406
