Iteration	Posterior	Likelihood	Prior	r1	r2
0	-2.33407	-8.22056	5.88649	5.565309e-05	0.005193118
500	-3.29101	-9.19501	5.904	0.0002739312	0.004099377
1000	-9.77273	-12.4702	2.69751	0.005874322	0.1588232
1500	-2.17168	-8.07109	5.89941	6.597711e-05	0.004536605
2000	-4.20912	-10.0589	5.8498	0.0003460226	0.006737271
2500	-7.06791	-12.6886	5.62068	0.001323033	0.01721609
3000	-7.49322	-12.4562	4.96296	0.001885216	0.04953986
3500	-7.42706	-12.6748	5.24777	0.001016792	0.03616815
4000	-8.49559	-13.2223	4.72674	0.001181672	0.06205458
4500	-1.5214	-7.45405	5.93265	1.720342e-05	0.002923612
5000	-1.5382	-7.46539	5.92719	1.484992e-05	0.003198842
5500	-7.67921	-12.4277	4.74849	0.002667169	0.05948172
6000	-2.10643	-8.04787	5.94144	0.0001007719	0.002400278
6500	-10.251	-12.9151	2.6641	0.01165984	0.1547084
7000	-8.17993	-12.6138	4.43391	0.002278848	0.07559904
7500	-8.18997	-12.4703	4.28036	0.003050745	0.08250455
8000	-3.78236	-9.61974	5.83738	0.0001596082	0.007544563
8500	-2.76941	-8.66741	5.898	0.0001703143	0.004503056
9000	-2.57495	-8.43884	5.86388	7.094097e-07	0.006378337
9500	-8.19948	-12.4738	4.27429	0.004283127	0.08157582
10000	-9.75547	-14.3706	4.61512	0.007322031	0.06149538
10500	-3.2632	-9.21923	5.95604	0.0002323953	0.001539065
11000	-2.09722	-8.02167	5.92445	9.720797e-05	0.003253372
11500	-7.88957	-12.4557	4.5661	0.002626125	0.06864226
12000	-2.65113	-8.55884	5.90772	0.0001670406	0.004020319
12500	-1.69724	-7.61108	5.91384	1.883712e-05	0.003862509
13000	-5.04176	-10.9012	5.85947	0.0005789719	0.006020893
13500	-11.3014	-13.3651	2.06375	0.003383791	0.1930017
14000	-8.3839	-12.4541	4.07022	0.00460602	0.09145641
14500	-8.62314	-12.4279	3.80477	0.004631497	0.1047032
15000	-2.46505	-8.41699	5.95194	0.0001354134	0.001840699
15500	-11.8198	-12.6462	0.826384	0.01547756	0.2427765
16000	-2.34382	-8.27354	5.92972	0.0001372849	0.002949729
16500	-9.0847	-13.6024	4.51768	0.006570841	0.06711822
17000	-8.71233	-12.4557	3.74341	0.005409616	0.1069932
17500	-7.01387	-12.4583	5.44446	0.001447765	0.02590249
18000	-3.45487	-9.31735	5.86248	0.000203823	0.006245335
18500	-4.84849	-10.6381	5.78961	0.0001288605	0.009963854
19000	-9.09998	-12.8627	3.76276	0.007613305	0.1038218
19500	-3.85209	-9.79002	5.93793	0.000362683	0.002314144
20000	-10.055	-13.2152	3.16019	0.002656777	0.1389068
20500	-3.85161	-9.77277	5.92116	0.0003773808	0.003137888
21000	-1.94755	-7.87006	5.92252	7.227703e-05	0.0033752
21500	-2.64086	-8.51027	5.86941	4.671832e-05	0.006055981
22000	-1.41811	-7.36491	5.9468	3.410898e-06	0.002229597
22500	-5.46702	-11.3447	5.8777	0.0006832217	0.005005069
23000	-6.64408	-12.5945	5.9504	0.0007962989	0.001256962
23500	-9.71314	-13.0636	3.35041	0.002719026	0.1293338
24000	-13.4423	-14.836	1.39366	0.02661863	0.2032716
24500	-8.82821	-13.5741	4.74592	0.005511556	0.05676561
25000	-8.18916	-12.6704	4.48128	0.002088905	0.07342056
25500	-9.97748	-12.4576	2.48015	0.006440832	0.1691247
