,CHAR:3,CHAR:23,CHAR:25,CHAR:353,CHAR:363,CHAR:380,CHAR:381,CHAR:382
Acanthochalcis,0,1,0,0,1,0,0,1
Aleiodes,1,1,0,1,1,0,-,-
Anacharis,0,1,0,0,1,0,-,-
Archaeoteleia,0,1,0,0,1,0,-,-
Athalia,0,1,0,0,1,0,0,1
Aulacus,0,1,0,0,1,0,1,1
Australomymar,?,1,0,?,?,?,?,?
Austroserphus,0,1,0,0,1,0,-,-
Belyta,0,1,0,0,1,0,-,-
Brachygaster,0,?,?,0,1,0,1,1
Cales,0,1,0,0,1,0,-,-
Cephalcia,?,1,0,?,?,?,?,?
Cephalonomia,0,-,1,0,1,1,-,-
Cephus,0,1,0,0,1,0,1,1
Ceraphron,0,?,?,-,1,1,-,-
Chiloe,?,1,0,?,?,?,?,?
Cirrospilus,0,1,0,0,1,0,-,-
Cleonymus,0,1,0,0,1,0,-,-
Coccobius,?,1,0,0,1,-,-,-
Coccophagus,0,1,0,0,1,0,-,-
Corynis,?,1,0,?,?,?,?,?
Decameria,?,1,0,?,?,?,?,?
Diplolepis,0,1,0,0,1,0,-,-
Doryctes,0,1,0,1,1,0,-,-
Dusona,0,?,?,1,1,0,-,-
Eurytoma,0,?,?,0,1,0,-,-
Evania,0,1,0,0,1,0,1,1
Evaniella,0,?,?,0,1,0,1,1
Foersterella,?,1,0,?,?,?,?,?
Gasteruption,0,1,0,0,1,0,1,1
Gonatocerus,0,1,0,0,1,0,-,-
Hartigia,?,1,0,?,?,?,?,?
Helorus,0,1,0,0,1,0,1,1
Heteroperreyia,0,1,0,?,?,?,?,?
Ibalia,0,1,0,0,1,0,0,1
Ismarus,0,?,?,0,1,-,-,-
Isostasius,0,?,?,0,1,0,-,-
Labena,1,?,?,1,1,0,-,-
Lagynodes,0,1,0,?,?,0,-,-
Lymeon,0,1,0,1,1,0,-,-
Maaminga,0,1,0,0,1,0,-,-
Macroxyela,0,0,0,0,0,0,1,1
Megalyra,0,1,0,0,1,0,0,0
Megaspilus,0,?,?,1,1,0,-,-
Megastigmus,0,1,0,0,1,0,-,-
Megischus,0,1,0,0,1,-,-,-
Melanips,0,1,0,0,1,0,-,-
Metapolybia,1,1,0,0,1,0,1,1
Monoctenus,0,1,0,0,1,0,1,1
Monomachus,0,1,0,0,1,-,-,-
Mymaromma,0,1,0,-,1,0,-,-
Nasonia,0,1,0,0,1,0,-,-
Notofenusa,0,?,?,0,1,0,1,1
Onycholyda,0,1,0,0,0,0,1,1
Orthogonalys,0,1,0,0,1,0,1,1
Orussobaius,0,1,0,?,?,-,-,-
Orussus,0,1,0,0,1,0,-,-
Pantolytomyia,0,1,0,0,1,-,-,-
Parnips,0,?,?,0,1,0,-,-
Pelecinus,0,1,0,0,1,0,-,-
Periclistus,0,1,0,0,1,0,1,1
Pimpla,0,?,?,1,1,0,-,-
Pison,1,1,0,0,1,0,-,-
Poecilopsilus,0,1,0,0,1,0,-,-
Pristaulacus,0,1,0,0,1,0,-,-
Proctotrupes,-,1,0,0,1,0,1,1
Proplatygaster,0,1,0,0,1,0,-,-
Pseudofoenus,0,1,0,0,1,0,-,-
Psilocharis,?,1,0,?,?,?,?,?
Rhopalosoma,1,?,?,1,1,0,1,1
Rhysipolis,1,1,0,1,1,0,-,-
Ropronia,0,1,0,0,1,0,-,-
Runaria,?,1,0,?,?,?,?,?
Sapyga,1,-,1,0,1,0,-,-
Schlettererius,0,1,0,0,1,?,0,1
Sirex,?,1,0,?,?,?,?,?
Stangeella,0,1,0,0,1,0,0,0
Sterictiphora,?,1,0,?,?,?,?,?
Syntexis,0,1,0,0,1,0,1,1
Telenomus,0,?,?,?,?,?,?,?
Tenthredo,?,1,0,?,?,?,?,?
Tremex,0,1,0,0,1,0,1,1
Vanhornia,0,1,0,0,1,-,-,-
Wroughtonia,0,1,0,1,1,0,-,-
Xiphydria,0,1,0,0,1,0,-,1
Xyela,?,0,0,0,0,0,1,1
Zagryphus,0,?,?,1,1,0,-,-
